no,구분,전공,본문
53,pre,교양,다른학생들이 도망가는데  출석을 하지않는점이 안타깝습니다.
54,pre,교양,대리출석하는 친구들 제발 없으면좋겠고 출석 첫교시랑 마지막교시에 했음좋겠습니다
55,pre,교양,대리출석하는 학생들 너무많습니다 꼼꼼하게 첫교시랑 마지막교시에 출첵을했음좋겠습니다 심각합니다
56,pre,교양,더 재미있고 다양한 분야의 책이였으면 좋겠습니다
57,pre,교양,독일 문화를 이해하고 북한의 정권과 북한에 대해 다른관점으로 바라보게 되었다.  교수님의 깊이 있는 강의에 몰입되어 앎의 즐거움을 느낄 수 있어 뜻깊은 과목이었다.  도서관에 들러  교수님의 책들을 찾아 볼 정도로 글도 잘 쓰시고 수업에 대한 매력을 느꼈다.  기회가 되면 교수님의 다른 강의도 꼭 한 번 다시 듣고 싶다.
58,pre,교양,독후감쓸 책을 사기 조금 어려웠던것 같다
59,pre,교양,동영상 과제 제출을 할 때 영상편집 부분에서 많은 시간을 들이게 되었습니다. 하지만 이 많은 시간을 들이는 와중에 많은 조원들은 영상 촬영에만 도움을 줄뿐 많은 시간을 차지하는 영상편집부분에서는 한사람이 대부분 도맡아했습니다. 이로인해 영상편집조원은 불만이 많았습니다. 과제 제출에 동영상 말고 발표ppt나 레포트 형식으로 바뀌었으면 합니다
60,pre,교양,동영상 제작.. 수업 같다
61,pre,교양,랜덤으로 번호해서 그룹으로 모이고 발표를 한다는 것이 내성적인 사람들에겐 조금 힘들었던 것 같습니다.  하지만 학생들을 생각해주시는 교수님 마음에 늘 감동 받았습니다..^^
62,pre,교양,많은 사람들과 만남을 가질 수 있어서 좋은 수업이라고 생각합니다
63,pre,교양,매번 이렇게 해오셨는지는 모르겠지만 시험때 15분동안 대화하는 것은 좀 부담이 되었던 것 같다.  스피킹 테스트라기 보단 암기 시험 같았다.
64,pre,교양,모두가 참여하기 쉽도록 전부 신경써주셔서 좋았습니다
65,pre,교양,모든 학생을 평등하게 대하여 주시면 좋겠습니다
66,pre,교양,"무조건 같은과로 해야하고, 영상제출이라 힘들었다. 물론 이의제기하면 팀원을 바꿀 수 있는 기회도 주셨지만, 신학과의 경우 대다수가 축구부라 같이 영상 작업을 하긴 어려웠고 혼자서 담당하게 되는 일들이 많았다. 따라서 앞으로 이런 수업은 없었으면 한다."
67,pre,교양,미래 산업에 대해 좀 더 넓게 생각하고 앞으로의 직업에 대해 다양하게 생각해 보는 시간이 되었다.  어렵지 않게 동영상을 통해 설명해 주셔서 공부하는데 흥미를 느낄 수 있어 좋았다.
68,pre,교양,바뀌는 점이 있다면 최소 1~2주 전에는 공지를 해주어야 한다고 생각합니다.
69,pre,교양,범위가 너무 많으며 교수님이 핵심을 잘 설명해주었으면 좋겠다.
70,pre,교양,보강 대체로 전시회를 다녀오는 과제가 좋았습니다. 평소에 사진 전시회를 갈 일이 많지 않은데 이 기회로 다녀올 수 있어서 색다른 경험이 되었습니다
71,pre,교양,"본인은 영어라는 수업이 굉장히 부담을 가지고 있는 학생이었으나, 크리스보이스 교수님을 만난 이후로 영어에 대한 부담이라는 벽이 무너졌으며, 시험위주의 수업이 아닌, 언어자체를 배우고 즐기고 활용한다는 크리스 보이스 교수님의 선교정신이 강력한 철학으로 많은 학생들이 영어에 가까이 다가갈 수 있게 해주셨습니다. 감사합니다."
72,pre,교양,빅데이터 관련 지식을 배울 수 있었던 매우 좋은 수업이었다
73,pre,교양,성실하시구 친절하신 교수님..  책 진도 다 나가는 수업은 오랜만인듯합니다   수업방식도 시험문제나 난이도도 적절했습니다
74,pre,교양,수업 내용은 너무 좋았지만 수업 방식을 좀 더 다르게 했으면 더 좋겠다는 생각이 들었습니다.
75,pre,교양,"수업 내용을 다시금 복습하거나, 예습할수 있도록 교수님께서 구글 클래스룸을 통하여 자료를 업로드 해주신점 정말 많은 도움이 되었습니다.  그러나, 정해진 교제가 없고, 체계적으로 정리가 되어있지 않은 많은양의 유인물로 인해, 공부를 해야할 부분이 구별이 잘 가질 않으며, 유인물에 과도한 그림과 동영상 부분이 차지로 인해 인쇄비용에 있어 많은 지출을 해야하는 점이 조금 아쉬웠습니다."
76,pre,교양,수업 내용이 기독교가아닌 다른 학생들에게 이해하기 어렵습니다 학생들 스스로 하는 방식이 아닌 같이 풀이해나가는 방식으로 진행해주셨으면 좋겠습니다.
77,pre,교양,수업 내용이 너무 어렵고 생소..  책에 설명이 하나도 없어서 공부하기 힘들어요
78,pre,교양,수업 내용이나 활동은 좋았지만 약간의 강요성이 있는 것 같아 아쉬웠습니다. 학생들이 조금 더 스스로 알아갈 시간을 주신다면 더 괜찮은 수업이 될 것 같습니다.
79,pre,교양,수업 두시간듣고 두장 서평써오라하고 무슨 중간고사 시험이 책읽고 독후감 다섯장? 이었나? 말이돼요?.. 기말 문제는 무슨 진짜  전공수업도아니고 너무 심하다고 생각합니다 거부감들어요
80,pre,교양,수업 시간 늦추실거면 공지를 일찍 해주세요. ppt 자료가 수정될 부분이 있으면 미리 수정해주셨으면 좋겠습니다.
81,pre,교양,수업 시간이 길고 내용이 지루하다고 느껴지는 점이 아쉽습니다
82,pre,교양,수업 중간에  출석체크 바로 해주세요
83,pre,교양,수업과 관련된 질문에 관해서 열정적으로 답변해주시고 이후에도 추가적인 조언을 아낌없이 해주셔서 너무 감사했습니다.
84,pre,교양,"수업내용이 &apos;북한&apos;이라는 집단을 다루는 만큼 신중하고, 옳바른 방향으로 나아가야 할 반면에 본 수업 중 정치적중립성을 지키지 않고, 아직 정치적 판단에 미숙한 학생들을 대상으로 좌편향된 저자의 책을 과제로 내주어 감상문을 써오라고 하신 점에 대해 매우 부적절하다고 생각됩니다.  &apos;북한&apos;이라는 집단을 그들의 입장에서도 이해하는 방식의 관점 자체는 굉장히 잘못된 방식이며 자유대한민국의 정신에 절대 맞지않은 내용입니다. 학교는 이러한 과목을 옳바르게 다룰 수 있는 교수진을 초청바랍니다."
85,pre,교양,수업도 잘 해주셔서 중국어를 잘 배울 수 있어서 좋은 시간을 보냈습니다!
86,pre,교양,수업도 재미있었고 교슈님도 좋은 분이셨습니다.
87,pre,교양,수업시간마다 글을 써보는 활동이 도움이 되고 좋았습니다.  과제점수는 수업 시간에 쓰는 글이나 활동으로 점수가 채점되는 것으로 알고 있는데  그것 외에 다른 과제도 내주셨으면 좋겠습니다.
88,pre,교양,수업시간에 팀별로 그룹활동을 할 수 있었던 것이 좋았다. 또한 영어를 그냥 책으로 공부하는 것이 아닌 내가 가지고 있는 영어와 관련된 지식을 확인하는 task 수업방식이 좋았다.   수업시간이 짧다고 느껴질만큼 수업시간이 즐거웠다.
89,pre,교양,수업에 대한 정보를 알 수 있는 폭이 너무 좁았습니다 하는 방법 참여 시기 등 정보를 사전에 모두가 알 수 있는 방법이 있었으면 더 좋았을 것 같아요
90,pre,교양,수업에 참여하지 못해 대체과제를 제출하여 평가하기가 어렵다
91,pre,교양,수업에 필수로 필요한 프로그램 준비가 늦어 불편을 겪었습니다.  학교측에서 미리 준비를 신경써주시면 좋겠습니다.
92,pre,교양,수업을 시작할때에 해주시는 이야기가 너무나도 좋았습니다.
93,pre,교양,수업을 열정적으로 진행해주신다.
94,pre,교양,수업을 잘 진행해주셔서 감사합니다 영어 기초가 매우 부족했지만 잘 알려주셨기에 부족한 것이 없었고 또한 다른 유익한 정보들도 학생들에게 항상전달해주심에 새로운 것을 알고 신청하고 했던거같습니다 감사합니다
95,pre,교양,수업의 내용은 좋으나 수업자료가 너무 정리되지 않은 느낌이 들었습니다. 설명이 부족한 작품도 있었고 반복되는 내용이 있었던 수업자료도 있었습니다.
96,pre,교양,수업의 내용이 많이 어려워서 잘 참여하지 못했었던 것 같다.  괜히 다른 학생들을 보며 열등감이 느껴지는 수업이었다.
97,pre,교양,수업이 너무 졸려요ㅜㅠ 그리고 출결 신경쓰신다고 하셨으면서 안쓰시더라구요  제가 아는얘는 중간 기말만 출석했는데 출결 만점이네요 ㅎㅎ
98,pre,교양,수업이 재밌다고 느껴질때가 있을 정도로 이해하기 쉽게 강의를 하셔서 좋았다.
99,pre,교양,수업이 지루하고 출석한 후 나가는 학생들에 대해 조치가 없었던 점은 개선되었으면 좋겠지만 항상 수업에 열정적이시고 준비를 철저히시는 것 같고 과목에 대한 지식이 엄청나게 많다는 생각이 들었습니다. 너무나도 열정적이시고 좋은 분이라 생각돼서 또 한 번 듣고 싶다는 생각이 들었습니다.
100,pre,교양,수업이 진행이 빨라 따라가기 어려웠습니다. 그래도 예전 고등학생때 배운 내용이 있어 반갑기도 했습니다.
101,pre,교양,수업준비를 너무 완벽히 해오신다. 만드신 수업자료는 최고였다.
102,pre,교양,시험볼때 컨닝한 학생들도 있다고 들었는데 앞으로 그런 상황이 발생안하게 해주셨으면합니다. 그리고 출석인정받고 중간에 나가는 학생들도 있는데 그렇게되면 수업듣는 학생들이 불공평하다 생각하기때문에 출석점수 차이를 줬으면 합니다.
103,pre,교양,시험에 관련한 설명이 너무 애매해요
104,pre,교양,시험을 5개 중에 3개씩 내셨는데 4개중에 3개나 3개 중에 3개 혹은 5개를 연결해서 전부 쓰라고 하시면 더 시험공부해온걸 다 써낼 수 있을 것 같습니다.
105,pre,교양,신입생에게 아주 많은 도움이 되었습니다.
106,pre,교양,실제로 운동을 하는 수업 시간이 즐거웠고 매 주 수행해야하는 과제를 통해 운동을 실생활에 적용할 수 있어서 좋았다.
107,pre,교양,아무래도 외국인 교수님이다 보니 한계가 있기에 전날에 공부하며 갔는데 그런 과정들이 도움이 많이 됬습니다.  교수님은 친절하시구 성실하시구 좋았습니다  시험방식도 퀴즈도 맘에 드는 수업이었습니다
108,pre,교양,알림 설정을 해 놨었는데 어쩔땐 오고 어떨땐 안오고 해서 한번 기간을 놓친적이 있어요ㅠ
109,pre,교양,애들이 너무 많아 시끄러운점이 있었습니다 ㅠㅠ 그러나 수업은 너무재미있고 유익했습니다 중국인에 대한 편견이 없어지고 중국어를 더 배우고 싶은 욕심이 생겼습니다 ㅎㅎㅎ
110,pre,교양,애들이 조금 시끄러워서 힘들었는데 재미있던 수업이었어요!!
111,pre,교양,야간 시간임에도 수업을 잘 해주셨습니다
112,pre,교양,양이 방대하여 교양강의로는 적합하지 않다.
113,pre,교양,영포자인 저도 즐거운 수업이었습니다.
114,pre,교양,오리엔테이션때 구체적이게 설명해 주시고 미리 계획해서 오셔서 학생들과 맞춰갔으면 좋겠습니다
115,pre,교양,온라인 강의 시청시 오류가 많습니다.
116,pre,교양,온라인 수업이었지만 그래도 영어 실력 향상에 도움이 되어 좋았다.
117,pre,교양,외부강사의 비율이 너무 많았다  교수님이 직접 수업해주셨으면 좋겠다
118,pre,교양,유익한 수업이었습니다
119,pre,교양,음.... 뭐였는지 기억이 잘 안나는 군요....
120,pre,교양,이 수업을 통해 독서를 하고 책의 내용에 대해 비판적 사고를 한 후 그 내용을 가지고 토론을 하는 것이 재밌으면서도 유익했다.  특히 토론하는 시간을 통해 같은 책의 내용을 가지고도 서로 다른 시각을 가질 수 있음을 확인할 수 있어 좋았고 수동적으로 받아들이는 것이 아니라 분석하며 비판적으로 생각해보는 경험이 좋았다.
121,pre,교양,이 수업을 통해 얻어가는것이 무엇인지를 도저히 알 수 없었다.
122,pre,교양,"이번 상담과목은 다른 상담과목보다 자신의 가족을 비추어 보는 경험을 하여 더 크게 와닿았던 것 같습니다. 자신의 가족을 되돌아보고, 현재 우리 가족의 의사소통과 분화 수준을 알 수 있는 계기가 되어 매우 의미있는 수업이었다고 생각합니다. 처음 이 과목이 졸업고사에 있는 것에 대해 의문이 있었지만, 지금은 충분히 이해가 가게 되었습니다."
123,pre,교양,이번 학기 많이 부족했습니다. 교수님께 최선의 모습을 보여드리지 못해 죄송합니다./권영훈 학생 올림
124,pre,교양,이번학기 감사했습니다!!
125,pre,교양,익히 아는 노래로 부르면 더 활발하게 참여할수 있을거 같다 학생들의 참여가 저조하다
126,pre,교양,인원이 워낙 많다보니 일방적인 강의형 수업으로 진행되었던 것이 아쉬웠다.  주의집중이 되기 힘든 여건이었던 것도 아쉽다.
127,pre,교양,임시교수로 변경되는 날에는 미리 공지를 해 주셨으면 좋겠습니다
128,pre,교양,재미없음
129,pre,교양,재밌게 수업에 들었던 것 같다.
130,pre,교양,재수강이었는데 작년보다 훨씬 나아졌네요. 이주일에 한 번 수업하는 것도 그렇고... 피곤한 건 어쩔 수 없지만 이대로만 가먼 될 듯!
131,pre,교양,전공을 탐색하는 단계인 1학년에서 진행하기에는 성급하다고 생각한다.
132,pre,교양,전자출결에 대해서 조금 더 철저해야 할 것 같아요
133,pre,교양,정말 좋은 수업이었습니다. 과제를 통해 자신을 돌아보게 되었어요.
134,pre,교양,"정말로 죄송합니다. 제가 정말 이번 2018년 1학기를 제대로 최선을 다해야 됬는데 그러지 못하고 많은 사회적,가정직인 어려움이 많다보니 학업을 할 수 없었습니다. 경제적,건강적,심리적 등등 이번 학기에 너무나도 힘든 시기를 보냈고 이때문에 제가 대학생활 잘 못한점 죄송드립니다./권영훈 학생 올림"
135,pre,교양,정확한 성적의 기준이 없고 기말고사 이후에도 종강이 아닌 보강이 엄청많았다
136,pre,교양,제가 정말 이번 학기에 많이 부족한 모습을 보여드렸음에도 저에 대해서 용기를 주시고 말씀해주신 점 감사드립니다. 지금 격는 많은 어려움을 극복하고 더 좋은 모습으로 보여드리겠습니다/권영훈 학생 올림.
137,pre,교양,제가 학교 생활에서 아프고 많은 문제가 있었습니다. 그런 상황 가운데서도 힘을 잃지 않고 지켜주신 교수님께 감사드립니다/권영훈 학생 올림
138,pre,교양,조장을 맡아서 팀원들과 재미있는 추억을 만들고 상품도 받게되어 즐거웠습니다
139,pre,교양,좋은 교수님
140,pre,교양,좋은 교수님 좋은 수업.
141,pre,교양,좋은 교수님에 좋은 수업.
142,pre,교양,중간 기말을 볼때 첫 시험보는 사람은 일찍가고 마지막 시험보는사람은 너무 오래 기다린다는 점이 좀 비효율적인거수같았습니다.
143,pre,교양,중간고사 관리감독이 너무 안되었습니다. 교수님이 직접하신게아닌 다른분이오셔서 계속돌아다니지않아 배끼는사람도 보았는데 이런것에대한 관리감독을 해주셨으면하고 출석부분 매일같이 출석을해야하는데 한번에몰아서하니 문제가 많습니다 누락되거나그래도 문자드리면 계속 받질않으십니다 이런부분이 너무 힘들고 이로인해 불이익을안받았으면좋겠습니더
144,pre,교양,"중간에 나가는 사람들을 어떻게 해주시거나 출석을 두 번 불러 주셨으면 했습니다. 끝까지 남아 있는 사람들과 나가는 사람들의 차이도 어느정도 두셨으면 하고요. 그래도 한 학기동안 정말 고생 많으셨습니다. 감사합니다, 교수님."
145,pre,교양,중국어 아예 몰랐었는데 교수님덕분에 많이알아가요 감사합니다.
146,pre,교양,"중국어과가 아닌 일반학부, 한문을 처음 배우는 학생들은 진도를 쫓아갈 수 없었음."
147,pre,교양,즐겁고 유익한 강의 한학기 동안 진행해주셔서 감사합니다.  학생들을 배려해주시고 수준에 알맞게 진행해주셔서 너무 유익한 시간이였습니다.
148,pre,교양,"지금도 너무 좋으시지만, 강의하실 때 일정한 톤으로 말고 톤높이를 조금만 더 다양하게 해주시면 좋겠습니다^^  감사합니다!"
149,pre,교양,진짜 별로임 무슨 초등학교 수업 들으러 온 것 같음 개 노 잼
150,pre,교양,책을 최신것으로 바꿨으면 좋겠어요..구하기도 어렵고 답지도 없어서..
151,pre,교양,처음 배우는 엑셀이었음에도 이번 수업을 통해 쉽고 재미있게 가르쳐주셔서 좋았다.  무엇보다 교수님이 학생들의 수준에 맞게 필요에 따라 도움을 주셔서 어렵지 않았다.  매 주 수업시간내에 해야하는 과제가 많다고 느껴지기도 했는데 그 덕분에 컴퓨터 활용능력이 향상되어 결과적으로는 필요했다고 느낀다.
152,pre,교양,"처음 학습을 진행하는 내용에 관한 서류에는 기독교에 대하여 (아시아/ 유럽) 전기/ 후기 등 이렇게 나눠서 인물들에 배운다 해서 수강신청을 하였는데 학습내용이 아예 달랐고, 유명한 인물들에 대하여 배우는것이 아닌 그냥 논문을 올린 사람들에 대하여 배우는 시간이었어서 별로 달갑지는 않았다. 하지만 무명의 사람들을 아는데 좋았고, 차분하게 말씀하시며 단체활동을 독려하여 그룹활동을 하게 하신 것은 좋았다."
153,pre,교양,출석체크랑 시험감독 더 신경써주셨으면 합니다
154,pre,교양,출석체크를 전자출결과 수기로서 항상 체크 하셨는데 과연 수기로 체크하신 출석체크로서 평가하실지와 과제를 제출했음에도 불구하고 몇개를 제출하였는지 명확하게 체크하지 못하시는 게 개선되면 좋겠습니다
155,pre,교양,출석하고 도망가는 학우들이 너무 많습니다..
156,pre,교양,출튀하는 학생들 좀 잡아주세요ㅠㅠ 성실히 출석한 학생들은 조금 억울합니다..
157,pre,교양,친절하시구 좋은 교수님!  독특한 소재들로 재밌는 영어수업 시간이었습니다
158,pre,교양,탐방을 나간다는 것 자체가 제 생각엔 이런게 교양수업아닐까 하고 매번 새로운 수업이였습니다.
159,pre,교양,"팀모임이 부담되었습니다.ㅜㅜ  이 과목은 강의듣고, 가벼운 개인과제라면 훨씬 더 좋을 것 같다는 생각을 해봤습니다.^^  감사합니다!"
160,pre,교양,팀플 최.고
161,pre,교양,팀플과제가 도움도 안되고 너무 별로였다. 다른 팀플을 시행했으면 좋겠다.
162,pre,교양,"판서를 해야만 진행되는 강의이므로 크고 정확하게 필기해주셨으면 좋겠습니다. 잘 보이지 않는 경우가 많았습니다.  중간중간에 출석을 한번더 불러주셨으면 좋겠습니다. 수업 내용을 잘 이해하지못하여 별로 좋은 성적을 못받을 가능성이 많은 사람의 경우 출석과 필기, 과제 등 다른부분에서 노력해도 성적에 영향이 가지않을까하는 생각때문입니다."
163,pre,교양,평생 기억에 남을 수업이었습니다.
164,pre,교양,"평소 갖고있었던 생각들을 발표하고, 반박하면서 조금 더 생각을 펼칠 수 있어 좋았습니다!"
165,pre,교양,"프린트 해답까지 나눠주는 학생들과 소통하는 모습 감사했습니다. 다만, 수업내용과 시험난이도가 좀 차이가 많았던거 같아 아쉬움이 남습니다. 수업때 열심히 들어도 시험을 너무 응용을 많이 하셔서 공부를 한 효과를 별로 보지 못했습니다."
166,pre,교양,프린트에 한글 뜻을 적어주시거나 한자의 한글음을 미리 다 찾아오셔서 한번에 말씀해셨으면 더 좋을 것 같습니다.
167,pre,교양,필기 글씨가 너무 작아요..
168,pre,교양,"하나의 책으로 진행하시는 것이 책을 정독하게 하셔서 좋았지만, 좀 더 성서에 대하여 설명해주셨으면 좋았을것같아요!  또한 매주 과제제출 때 궁금증을 적고 그것을 다음시간에 설명해주시는 서로 묻고 답하는 형식의 수업이 좋았습니다  감사합니다 ^^"
169,pre,교양,하나하나 다 알려주셔서 좋았습니다.
